,Overall rank,Country or region,Score|Happiness score,GDP per capita|Explained by: GDP ,Social support|Explained by: Social support,Healthy life expectancy|Explained by: Healthy life expectancy,Freedom to make life choices|Explained by: Freedom to make life choices,Generosity|Explained by: Generosity,Perceptions of corruption|Explained by: Perceptions of corruption
45,46,Nicaragua,6.1370000000000005,0.62,1.271,0.8029999999999999,0.56,0.213,0.174
46,47,Romania,6.124,1.12,1.194,0.792,0.535,0.068,0.001
47,48,Kuwait,6.102,1.425,1.245,0.7759999999999999,0.57,0.133,0.113
48,49,Mauritius,6.101,1.074,1.396,0.763,0.591,0.187,0.084
49,50,Kazakhstan,6.058,1.123,1.453,0.6990000000000001,0.49700000000000005,0.154,0.11
50,51,Estonia,6.022,1.192,1.453,0.843,0.5770000000000001,0.125,0.20199999999999999
51,52,Philippines,6.006,0.775,1.245,0.602,0.622,0.129,0.13
52,53,Hungary,6.0,1.1640000000000001,1.423,0.807,0.386,0.07,0.027999999999999997
53,54,Thailand,5.999,1.0070000000000001,1.348,0.794,0.609,0.377,0.032
54,55,Argentina,5.975,1.028,1.3730000000000002,0.85,0.521,0.07,0.06
55,56,Honduras,5.952999999999999,0.599,1.187,0.792,0.568,0.257,0.087
56,57,Latvia,5.95,1.141,1.4140000000000001,0.778,0.32899999999999996,0.075,0.09
57,58,Ecuador,5.925,0.853,1.2209999999999999,0.8390000000000001,0.555,0.115,0.087
58,59,Portugal,5.9110000000000005,1.169,1.34,0.9790000000000001,0.59,0.053,0.027999999999999997
59,60,Jamaica,5.89,0.779,1.4080000000000001,0.7879999999999999,0.5529999999999999,0.11599999999999999,0.03
60,61,South Korea,5.872000000000001,1.245,1.1340000000000001,1.023,0.259,0.17,0.095
61,62,Japan,5.871,1.2670000000000001,1.3319999999999999,1.073,0.495,0.036000000000000004,0.18100000000000002
62,63,Peru,5.797000000000001,0.919,1.208,0.8240000000000001,0.513,0.092,0.027000000000000003
63,64,Serbia,5.778,0.988,1.327,0.828,0.395,0.15,0.059000000000000004
64,65,Bolivia,5.747000000000001,0.731,1.1420000000000001,0.662,0.574,0.138,0.073
65,66,Pakistan,5.693,0.617,0.873,0.47,0.405,0.22899999999999998,0.12300000000000001
66,67,Paraguay,5.692,0.898,1.368,0.736,0.5870000000000001,0.204,0.065
67,68,Dominican Republic,5.689,0.983,1.329,0.742,0.563,0.11199999999999999,0.11599999999999999
68,69,Bosnia and Herzegovina,5.6739999999999995,0.9179999999999999,1.204,0.8140000000000001,0.305,0.264,0.001
69,70,Moldova,5.608,0.708,1.237,0.713,0.39,0.174,0.013999999999999999
70,71,Tajikistan,5.556,0.475,1.218,0.6809999999999999,0.521,0.182,0.222
71,72,Montenegro,5.546,1.01,1.266,0.8390000000000001,0.303,0.149,0.098
72,73,Russia,5.546,1.127,1.379,0.68,0.39899999999999997,0.099,0.046
73,74,Kyrgyzstan,5.542000000000001,0.513,1.341,0.6809999999999999,0.615,0.301,0.03
